pmid,source_file,source_type,text_length,text
33449539,abstract_33449539.txt,abstract,1026,"PMID: 33449539
Title: Case Report of Remifentanil Labor Analgesia for a Pregnant Patient With Congenital Methemoglobinemia Type 1.
Journal: A&A practice
Year: 2021
Authors: Yin W, Jung F, Adams D

================================================================================

ABSTRACT:
Congenital methemoglobinemia is a rare disease characterized by cyanosis and a left shifting of the oxyhemoglobin dissociation curve. The disease necessitates avoidance of certain medications commonly used in obstetrics, making labor analgesia and anesthesia challenging. We present a case report of peripartum anesthetic management of a pregnant patient with congenital methemoglobinemia type 1 who received remifentanil labor analgesia and continuous methemoglobin monitoring. Continuous real-time monitoring of methemoglobin concentrations may prove to be a useful monitor in future care settings. A review of literature encompassing various perioperative and obstetric anesthesia and analgesia management considerations is presented."
33847673,abstract_33847673.txt,abstract,1542,"PMID: 33847673
Title: A case report of acquired methemoglobinemia rescued by veno-venous extracorporeal membrane oxygenation.
Journal: Medicine
Year: 2021
Authors: Lien YH, Lin YC, Chen RJ

================================================================================

ABSTRACT:
Severe methemoglobinemia (Met-Hb) is rare. The delayed diagnosis and treatment often cause further damage. The management of cellular hypoxemia is challenging and the use of extra-corporeal membrane oxygenation (ECMO) has never been reported. The young patient, healthy with unremarkable past medical history, was sent to emergency room with out-of-hospital circulatory arrest (OHCA) and severe generalized cyanosis. His family reported he ingested sodium nitrite accidentally. After successful resuscitation and return of spontaneous circulation (ROSC), the paradoxically normal arterial blood gas (ABG) with the unusual brownish blood led to the suspicion of Met-Hb. The lab test confirmed it and showed a very high level of 80%. Because of recovered and normal cardiac function, we placed veno-venous extracorporeal membrane oxygenation (VV-ECMO) for tissue hypoxemia in addition to exchange transfusion, vitamin C, and methylene blue. Met-Hb blood level dropped rapidly. After vigorous rehabilitation for weeks, the patient was able to be discharged home without major neurological sequela. VV-ECMO can hyper-oxygenate the hypoxemic tissue regardless the etiology and minimize hypoxemia-reperfusion injury while awaiting the definite diagnosis and therapy."
35725643,abstract_35725643.txt,abstract,1427,"PMID: 35725643
Title: Methemoglobinemia due to use of poppers: a case report.
Journal: Journal of medical case reports
Year: 2022
Authors: Sonck E, Bourmanne E, Bruteyn J

================================================================================

ABSTRACT:
Methemoglobinemia is an excess of oxidized hemoglobin in the blood, affecting oxygen transportation. It is characterized by central cyanosis that does not respond to oxygen therapy. Prognosis is excellent when treated adequately and rapidly. We present a case report of a 38-year-old Caucasian man suffering from methemoglobinemia due to the use of poppers. A 38-year-old Caucasian man known as a smoker and addicted to cocaine was admitted to the emergency department with dyspnea, agitation, and central cyanosis that started approximately 3 hours before admission. The persistent hypoxia despite high-flow oxygen therapy and a history of poppers use helped to reveal a condition known as methemoglobinemia. Our case highlighted a typical clinical presentation of methemoglobinemia. This possible life-threatening condition can occur after ingestion or inhalation of poppers, commonly sold in sex shops for recreational purposes. This can be easily confirmed by the methemoglobin level of the blood gases, provided the emergency physician considers this diagnosis. Rapid treatment with intravenous methylene blue is effective and leads to a favorable prognosis."
35875039,abstract_35875039.txt,abstract,1147,"PMID: 35875039
Title: Methemoglobinemia and Delayed Encephalopathy After 5-Bromo-2-Nitropyridine Poisoning: A Rare Case Report.
Journal: Frontiers in public health
Year: 2022
Authors: Shi L, Yu G, Zhao L

================================================================================

ABSTRACT:
5-bromo-2-nitropyridine, an intermediate in the synthesis of pharmaceutical and pesticide products, is toxic to the human body. However, 5-bromo-2-nitropyridine poisoning has not been previously reported. Here, we report the case of a 40-year-old man who suffered skin and respiratory tract exposure to leaked 5-Bromo-2-nitropyridine at work. After exposure, the patient rapidly developed dizziness, fatigue, nausea, vomiting, chest distress, diffuse cyanosis, and coma. Methemoglobinemia, hemolytic anemia, rhabdomyolysis, and acute renal failure were observed after admission. He improved markedly after treatment, but delayed encephalopathy was confirmed 82 days after the exposure. This case highlights that 5-bromo-2-nitropyridine can be absorbed through the skin and respiratory tract, resulting in methemoglobinemia and delayed encephalopathy."
36304805,abstract_36304805.txt,abstract,1900,"PMID: 36304805
Title: METHEMOGLOBINEMIA - A CASE REPORT  AND LITERATURE REVIEW.
Journal: Acta clinica Croatica
Year: 2022
Authors: Ivek I, Knotek T, Ivičić T

================================================================================

ABSTRACT:
The objective of this case report is to present a patient with acquired methemoglobinemia due to poisoning of an unknown cause. A 55-year-old man was brought to the Emergency Department, University Hospital Center Zagreb, with an unwell appearance, cyanotic, restless, and presented with a quantitative consciousness disorder. An initial assessment showed decreased oxygen saturation (SpO2 85 [%]), while point-of-care arterial blood gas (ABG) analysis assessed normal partial pressure of oxygen (pO2). Severe lactic acidosis with a compensatory drop in partial pressure of carbon dioxide (pCO2) and high rates of methemoglobin were found. Supportive oxygen therapy and crystalloid solutions were administered, which resulted in rapid clinical recovery within 40 minutes of the initial assessment. Clinical recovery was accompanied by normalized ABG test results taken serially. Typical antidotes, methylene blue and vitamin C, were not administered due to rapid clinical improvement. Methemoglobinemia can be congenital (hereditary) or acquired (toxic). Both conditions are rarely seen in emergency departments, nevertheless, they should be approached properly since methemoglobinemia can be a severe, and fatal, condition. Methemoglobinemia symptoms are the results of inadequate oxygen transport. The diagnosis was confirmed by co-oximetry, while three clinical entities suspected methemoglobinemia: refractory hypoxia, ""cyanosis-saturation gap"" and dark brown blood. This paper reports our patient's clinical presentation, discusses the causes and mechanisms of possible poisoning, and reviews recent guidelines for methemoglobinemia management."
36451721,abstract_36451721.txt,abstract,974,"PMID: 36451721
Title: Acute dapsone poisoning with methemoglobinemia: a case report.
Journal: The Pan African medical journal
Year: 2022
Authors: El Hamzaoui H, Chajai I, El Ouazzani MC

================================================================================

ABSTRACT:
Methemoglobinemia is a common complication of dapsone poisoning. Its´ treatment usually relies on methylene blue infusion. The aim of this study was to report a case of an acute dapsone poisoning with methemoglobinemia treated only with ascorbic acid and activated charcoal. A 16-year-old female voluntary ingested 3 grams of dapsone in an attempt of suicide and presented with desaturation and tachypnea. Lab findings were compatible with methemoglobinemia. After two days of treatment with ascorbic acid and activated charcoal, we observed the disappearance of desaturation and tachypnea. Methemoglobinemia can be treated with ascorbic acid and activated charcoal in limited resource settings."
36599025,abstract_36599025.txt,abstract,1088,"PMID: 36599025
Title: A Case Report of Hypotension and Methemoglobinemia Associated With Gunshot Residue Poisoning: Nitrite-Induced Methemoglobinemia.
Journal: A&A practice
Year: 2022
Authors: Pugh DB, Saxena A, Barta LE

================================================================================

ABSTRACT:
A patient with gunshots within inches of the skin developed intraoperative vasodilatory hypotension and methemoglobinemia, both recognized consequences of nitrite poisoning. A 1- mg/kg dose of methylene blue transiently and partially reversed methemoglobinemia, but the color of the methylene blue faded rapidly, consistent with bleaching of methylene blue by nitrite in vivo. Methylene blue did not raise blood pressure, consistent with inhibition of nitric oxide (NO) synthase. Because NO production from nitrite uses an NO synthase (NOS)-independent pathway, methylene blue is expected to have little effect on reversing hypotension from nitrite poisoning. Consider nitrite toxicity in gunshot patients with refractory vasodilatory hypotension and elevated methemoglobin."
36984616,abstract_36984616.txt,abstract,1801,"PMID: 36984616
Title: Hereditary Congenital Methemoglobinemia Diagnosed at the Age of 79 Years: A Case Report.
Journal: Medicina (Kaunas, Lithuania)
Year: 2023
Authors: Nakata M, Yokota N, Tabata K

================================================================================

ABSTRACT:
<i>Background</i>: Cardiopulmonary disorders are the most common cause of central cyanosis, and methemoglobinemia is often overlooked in the differential diagnosis of patients with central cyanosis. In most cases, methemoglobinemia is acquired and hereditary congenital methemoglobinemia is rare. Only a few case reports of congenital methemoglobinemia can be found in PubMed. To date, only four cases of congenital methemoglobinemia diagnosed after the age of 50 years have been reported. <i>Case Presentation</i>: A 79-year-old Japanese woman presented at our hospital with the chief complaints of dyspnea and cyanosis. She exhibited cyanosis of the lips and extremities, and her SpO<sub>2</sub> was 80%, with oxygen administration at 5 L/min. Blood gas analysis revealed a PaO<sub>2</sub> of 325.4 mmHg and methemoglobin level of 36.9%. The SpO<sub>2</sub> and PaO<sub>2</sub> values were dissociated, and methemoglobin levels were markedly elevated. Genetic analysis revealed a nonsynonymous variant in the gene encoding nicotinamide adenine dinucleotide cytochrome (NADH) B5 reductase 3 (<i>CYB5R3</i>), and the patient was diagnosed with congenital methemoglobinemia. <i>Conclusions</i>: It is important to consider methemoglobinemia in the differential diagnosis of patients with central cyanosis. At 79 years of age, our patient represents the oldest patient with this diagnosis. This report indicates that it is crucial to consider the possibility of methemoglobinemia regardless of the patient's age."
37296483,abstract_37296483.txt,abstract,2454,"PMID: 37296483
Title: Whole-blood ribonucleic acid sequencing analysis in methemoglobinemia: a case report.
Journal: Journal of medical case reports
Year: 2023
Authors: Mitsuhara C, Togami Y, Hirose T

================================================================================

ABSTRACT:
Methemoglobinemia is a condition in which methemoglobin is increased and the oxygen carrying capacity of tissues is decreased, causing a lack of oxygen to the whole body. RNA (ribonucleic acid) sequencing technologies have made it possible to systematically examine how the human transcriptome responds to invasive pathologies. To our knowledge, no previous studies have reported the results of RNA sequencing in a patient with methemoglobinemia. We describe the analysis of RNAs from the whole blood of a patient with methemoglobinemia. A 31-year-old Japanese man was brought to our hospital with symptoms of dyspnea due to inhalation of gas from an acetic acid phosphonitrate storage tank at a factory. The nitrogen oxide concentration measured around the storage tank was over 2500 ppm, and he witnessed orange-brown smoke at that time. After entering the area and taking a few breaths, he suddenly became unwell, with dyspnea and numbness in his extremities. He was evacuated from the area within a few minutes, at which time he was suffering from whole-body cyanosis and was still aware of the above symptoms. On arrival at the hospital, his respiration rate was 18 breaths/minute, and his SpO<sub>2</sub> ranged from 80% to 85% on 15 L/minute of oxygen by mask (2.5 hours postexposure). Arterial blood gas testing revealed a methemoglobin level of 23.1%. After the administration of methylene blue, the patient's methemoglobin level normalized and his symptoms improved. Chest X-ray and chest computed tomography showed no evidence of pulmonary edema or interstitial pneumonia, and no other abnormal findings were observed. RNA sequencing was performed on the blood samples obtained at the time of the visit, with the blood sample collected on day 5 used as a control. To our knowledge, the present study is the first to describe the analysis of RNAs from the whole blood of a patient with methemoglobinemia. The RNA sequencing analysis showed that an activated ""hydrogen peroxide catabolic process"" may be associated with the pathogenesis of methemoglobinemia. The results reported in the present study may explain the pathogenesis of methemoglobinemia."
37421600,abstract_37421600.txt,abstract,1628,"PMID: 37421600
Title: Ascorbic Acid for Methemoglobinemia Treatment: A Case Report and Literature Review.
Journal: Journal of pharmacy practice
Year: 2024
Authors: Keats KR, Robinson R, Patel M

================================================================================

ABSTRACT:
<b>Purpose:</b> Ascorbic acid has been proposed as an alternative treatment for methemoglobinemia in patients with glucose-6-phosphate dehydrogenase (G6PD) deficiency. However, its efficacy has never been compared to that of methylene blue given the inability of patients with G6PD deficiency to receive methylene blue. We present a case of methemoglobinemia treated with ascorbic acid in a patient without G6PD deficiency who had previously received methylene blue. <b>Summary:</b> A 66-year-old male was treated for methemoglobinemia deemed to be secondary to benzocaine throat spray. He received intravenous (IV) methylene blue but had a severe reaction: diaphoresis, lightheadedness, and hypotension. The infusion was stopped prior to completion. Approximately 6 days later he presented with methemoglobinemia following an additional overconsumption of benzocaine and was treated with ascorbic acid. In both instances his methemoglobin levels were >30% on arterial blood gas on admission and decreased to 6.5% and 7.8%, respectively, after administration of methylene blue and ascorbic acid. <b>Conclusion:</b> Ascorbic acid had a similar effect on decreasing the concentration of methemoglobin compared to methylene blue. Further research into use of ascorbic acid as a recommended agent for treatment of methemoglobinemia is warranted."
38110882,abstract_38110882.txt,abstract,1453,"PMID: 38110882
Title: The first Chinese with Hb Chile leading to chronic anemia and methemoglobinemia: a case report.
Journal: BMC pediatrics
Year: 2023
Authors: Gong Y, Zheng Q, Long S

================================================================================

ABSTRACT:
Hemoglobin (Hb) Chile [β28(B10) Leu > Met; HBB: c.85 C > A] is a rare hemoglobin variant caused by a missense mutation in the HBB gene. Only one case of Hb Chile has been reported worldwide so far. It is an unstable hemoglobin, characterized by cyanosis associated with chronic methemoglobinemia and hemolytic anemia induced by sulfonamides or methylene blue. A 9-year-3-month-old girl had mild anemia of unknown etiology for more than 6 years. She had a slight pallor without other symptoms or signs. The complete blood count revealed normocytic normochromic anemia with a sometimes-elevated reticulocyte count, and the bone marrow cytology showed marked erythroid hyperplasia, but the tests related to hemolysis were normal. Therefore, the whole exome sequencing was performed and showed a heterozygous mutation for HBB: c.85 C > A. With asymptomatic methemoglobinemia confirmed later, she was eventually diagnosed with Hb Chile. This is the first report of Hb Chile in China and the second worldwide. This case shows that Hb Chile is clinically heterogeneous and difficult to diagnose and expands our understanding on the clinical and hematological traits of the disease."
38493134,abstract_38493134.txt,abstract,2770,"PMID: 38493134
Title: Indoxacarb poisoning causing methemoglobinemia treated with parenteral vitamin C: a case report.
Journal: Journal of medical case reports
Year: 2024
Authors: Sivanandam LK, Arunkumar H, Marlecha P

================================================================================

ABSTRACT:
This case study reports on a suicide attempt involving indoxacarb and vitamin C. Indoxacarb is a neurotoxic insecticide used in agriculture and as a flea controller in pets. Cotton, vegetables, and fruits are treated with indoxacarb, an insecticide that can be applied both indoors and outdoors. It causes skin allergies, methemoglobinemia, and hemolytic anemia. It is also attributed to allergic reactions through ingestion, inhalation, physical contact, and translaminar action. This case report highlights use of vitamin C in methemoglobinemia caused by indoxacarb poisoning. Indoxacarb poisoning has the potential to be extremely serious and even lethal. In this instance, the patient initially had no symptoms after ingesting a substance containing indoxacarb in an attempt at suicide. However, further tests revealed methemoglobinemia and low oxygen levels. A 28-year-old south-east Asian female patient ingested an insecticide containing 5.25% novaluron, 4.5% indoxacarb, and 25% thiamethoxam, and reported that she noticed muddy brown urine but presented with no active signs or symptoms of poisoning. Upon examination, the patient was fully conscious, alert, and hemodynamically stable, but had an oxygen saturation of 84%. Gastric lavage was performed, and blood investigations revealed a muddy-brown-colored blood sample and methemoglobin levels of 12%. The patient was treated with high-dose vitamin C and showed significant improvement, with a drop in methemoglobin levels to 1.2% and an increase in oxygen saturation to 97%. Indoxacarb poisoning can cause severe methemoglobinemia. Vitamin C may be a useful treatment option for methemoglobinemia caused by indoxacarb, particularly in cases in which traditional treatment with methylene blue is contraindicated or not tolerated. Hence high doses of ascorbic acid, that is, vitamin C, were administered to the patient, which lowered their methemoglobin levels and improved oxygen levels without much safety concerns. This example emphasizes the significance of early indoxacarb poisoning detection and treatment as well as the possible advantages of utilizing ascorbic acid in the management of methemoglobinemia, and highlights the use of vitamin C in the treatment of methemoglobinemia caused by indoxacarb poisoning. Therefore, it is important for healthcare professionals to be aware of the potential for indoxacarb to cause methemoglobinemia and to consider vitamin C as a treatment option."
38799189,abstract_38799189.txt,abstract,1073,"PMID: 38799189
Title: Acquired methemoglobinemia induced by indoxacarb poisoning: a case report.
Journal: The Pan African medical journal
Year: 2024
Authors: Braiek DB, Hidri R, Kaabi C

================================================================================

ABSTRACT:
Indoxacarb, a large-spectrum non-organophosphorus oxadiazine insecticide, is broadly used in farming whose mechanism of action is the blockage of voltage-gated sodium channels of insects. There is restricted data on human poisoning. We report a case of an 18-year-old male patient without comorbidities presented with unconsciousness and cyanosis after the intentional ingestion of indoxacarb in a suicide attempt. Methemoglobinemia was clinically suspected and was successfully treated after methylene blue injection, associated with supportive and symptomatic management. This case emphasizes the importance of considering methemoglobinemia after indoxacarb ingestion in addition to its early recognition and timely injection of methylene blue which led to complete recovery without sequelae."
39256769,abstract_39256769.txt,abstract,2005,"PMID: 39256769
Title: Rapid-onset methemoglobinemia from traditional-medicine-induced potassium nitrate poisoning: successful treatment with methylene blue-a case report.
Journal: Journal of medical case reports
Year: 2024
Authors: Kazmi S, Farooqi H, Nawaz A

================================================================================

ABSTRACT:
Potassium nitrate poisoning is a rare but potentially serious condition that can result in methemoglobinemia and subsequent cyanosis. This case report presents a unique instance of rapid-onset methemoglobinemia resulting from the ingestion of a traditional medicine preparation containing potassium nitrate, known as ""kalmi shora."" A 14-year-old Pakistani boy reported to the emergency department with a history of sudden-onset headache, drowsiness agitation, irritability, and generalized cyanosis. Pulse oximetry showed a concerning oxygen saturation level of 58%, whereas arterial blood gas analysis revealed a normal partial pressure of oxygen (90 mmHg). The profile of abrupt onset of symptoms, generalized cyanosis, and the discrepancy between the partial pressure of oxygen and oxygen saturation readings necessitated a comprehensive assessment including inquiries into potential toxins. The peculiar appearance of the blood, resembling chocolate in color, further indicated the possibility of methemoglobinemia. The patient was successfully treated with methylene blue, leading to a prompt resolution of symptoms. This case highlights the significance of considering toxin exposures, such as traditional-medicine-induced poisoning, in emergency settings. The report contributes to the medical literature by highlighting the potential risks associated with traditional remedies and emphasizes the critical role of prompt diagnosis and intervention in optimizing patient outcomes. Recognition of the specific etiology of methemoglobinemia, in this case, traditional medicine ingestion, is essential for effective management in emergency medicine."
