pmid,title,abstract,journal,pub_year,authors,filename
20637402,Is threshold for treatment of methemoglobinemia the same for all? A case report and literature review.,"Acquired methemoglobinemia (MetHb) is a rare complication of exposure to toxic chemicals or drugs, most commonly topical anesthetic agents. This condition occurs when the rate of methemoglobin production exceeds the rate of methemoglobin reduction. Topical anesthetics have been reported to cause MetHb, but this adverse event is extremely rare and is not usually listed as one of the possible complications of transesophageal echocardiography (TEE). However, the number of published case reports of TEE-associated MetHb has recently increased. Benzocaine (ethyl aminobenzoate) is a topical anesthetic widely used for oropharyngeal anesthesia before TEE. Health care providers who are not familiar with the association of TEE and benzocaine-induced MetHb may not recognize the idiosyncratic and often nonspecific characteristics of this condition. Recognition is critical, as clinically important symptoms may occur at relatively low MetHb levels. If left untreated, MetHb can lead to cardiopulmonary compromise, severe neurologic impairment, and even death. The current report documents a case of TEE-associated MetHb from a high-volume (3000 cases per year including 300-350 TEEs per year) echo laboratory. Our patient was symptomatic and severely distressed, despite a MetHb level of only 10.8%. This case report emphasizes the importance of early recognition and treatment of MetHb, as it represents a medical emergency and can be severely symptomatic, especially in young children and the elderly, even with low MetHb levels.",The American journal of emergency medicine,2010,"El-Husseini A, Azarov N",abstract_20637402.txt
15106687,Dental anesthesia management of methemoglobinemia-susceptible patients: a case report and review of literature.,"A healthy but slightly pale 24-year-old female patient with a history of ""turning blue"" following dental procedures performed under local anesthesia claimed allergies to sulfa drugs, aspirin, Benadryl, and ""all caines."" The patient also acknowledged mild cyanosis after extreme exertion, Native American ancestry, and a 1996 diagnosis of methemoglobinemia following administration of a sulfa drug. Previous medical and dental records were reviewed. Restoration of several teeth and extraction of 2 third-molar teeth were completed under general anesthesia. Anesthesia was induced with propofol, nasotracheal intubation was accomplished with succinylcholine, and anesthesia was maintained with desflurane in oxygen supplemented by meperidine without local anesthesia. Vital signs, including pulse oximetry, remained stable, and the patient was dismissed after a 2-hour recovery/observation period. The patient experienced no postoperative complications. This case report provides a review of literature and clinical guidelines for management of methemoglobinemia-susceptible patients.",Anesthesia progress,2004,"Hall DL, Moses MK, Weaver JM",abstract_15106687.txt
16640711,Methemoglobinemia following transesophageal echocardiography: a case report and review.,"Benzocaine (ethyl aminobenzoate) is a topical anesthetic widely used for oropharyngeal anesthesia prior to transesophageal echocardiography (TEE). Topical anesthetics have been reported to cause methemoglobinemia, but this adverse event is extremely rare and has not been listed as one of the possible complications of TEE. However, recently the number of published case reports of TEE-associated methemoglobinemia has increased. Since its first description in 1950, 65 cases of methemoglobinemia have been reported including a recent report of five cases from a single center. Physicians who are not familiar with the association of TEE with benzocaine-induced methemoglobinemia may not recognize the idiosyncratic and often nonspecific characteristic of this condition. Recognition is critical, however, since left untreated methemoglobinemia can lead to cardiopulmonary compromise, neurological sequelae, and even death. The current report documents an additional case of TEE-associated methemoglobinemia from a high-volume (8000 cases /year including 400-450 TEE/year) echo lab. A review of the literature suggests that this complication may be more prevalent, than generally appreciated. This case report emphasizes the importance of appropriate dose, recognition, and the treatment of this entity to cardiologists performing TEE.","Echocardiography (Mount Kisco, N.Y.)",2006,"BheemReddy S, Messineo F, Roychoudhury D",abstract_16640711.txt
37296483,Whole-blood ribonucleic acid sequencing analysis in methemoglobinemia: a case report.,"Methemoglobinemia is a condition in which methemoglobin is increased and the oxygen carrying capacity of tissues is decreased, causing a lack of oxygen to the whole body. RNA (ribonucleic acid) sequencing technologies have made it possible to systematically examine how the human transcriptome responds to invasive pathologies. To our knowledge, no previous studies have reported the results of RNA sequencing in a patient with methemoglobinemia. We describe the analysis of RNAs from the whole blood of a patient with methemoglobinemia. A 31-year-old Japanese man was brought to our hospital with symptoms of dyspnea due to inhalation of gas from an acetic acid phosphonitrate storage tank at a factory. The nitrogen oxide concentration measured around the storage tank was over 2500 ppm, and he witnessed orange-brown smoke at that time. After entering the area and taking a few breaths, he suddenly became unwell, with dyspnea and numbness in his extremities. He was evacuated from the area within a few minutes, at which time he was suffering from whole-body cyanosis and was still aware of the above symptoms. On arrival at the hospital, his respiration rate was 18 breaths/minute, and his SpO<sub>2</sub> ranged from 80% to 85% on 15 L/minute of oxygen by mask (2.5 hours postexposure). Arterial blood gas testing revealed a methemoglobin level of 23.1%. After the administration of methylene blue, the patient's methemoglobin level normalized and his symptoms improved. Chest X-ray and chest computed tomography showed no evidence of pulmonary edema or interstitial pneumonia, and no other abnormal findings were observed. RNA sequencing was performed on the blood samples obtained at the time of the visit, with the blood sample collected on day 5 used as a control. To our knowledge, the present study is the first to describe the analysis of RNAs from the whole blood of a patient with methemoglobinemia. The RNA sequencing analysis showed that an activated ""hydrogen peroxide catabolic process"" may be associated with the pathogenesis of methemoglobinemia. The results reported in the present study may explain the pathogenesis of methemoglobinemia.",Journal of medical case reports,2023,"Mitsuhara C, Togami Y, Hirose T",abstract_37296483.txt
35875039,Methemoglobinemia and Delayed Encephalopathy After 5-Bromo-2-Nitropyridine Poisoning: A Rare Case Report.,"5-bromo-2-nitropyridine, an intermediate in the synthesis of pharmaceutical and pesticide products, is toxic to the human body. However, 5-bromo-2-nitropyridine poisoning has not been previously reported. Here, we report the case of a 40-year-old man who suffered skin and respiratory tract exposure to leaked 5-Bromo-2-nitropyridine at work. After exposure, the patient rapidly developed dizziness, fatigue, nausea, vomiting, chest distress, diffuse cyanosis, and coma. Methemoglobinemia, hemolytic anemia, rhabdomyolysis, and acute renal failure were observed after admission. He improved markedly after treatment, but delayed encephalopathy was confirmed 82 days after the exposure. This case highlights that 5-bromo-2-nitropyridine can be absorbed through the skin and respiratory tract, resulting in methemoglobinemia and delayed encephalopathy.",Frontiers in public health,2022,"Shi L, Yu G, Zhao L",abstract_35875039.txt
33847673,A case report of acquired methemoglobinemia rescued by veno-venous extracorporeal membrane oxygenation.,"Severe methemoglobinemia (Met-Hb) is rare. The delayed diagnosis and treatment often cause further damage. The management of cellular hypoxemia is challenging and the use of extra-corporeal membrane oxygenation (ECMO) has never been reported. The young patient, healthy with unremarkable past medical history, was sent to emergency room with out-of-hospital circulatory arrest (OHCA) and severe generalized cyanosis. His family reported he ingested sodium nitrite accidentally. After successful resuscitation and return of spontaneous circulation (ROSC), the paradoxically normal arterial blood gas (ABG) with the unusual brownish blood led to the suspicion of Met-Hb. The lab test confirmed it and showed a very high level of 80%. Because of recovered and normal cardiac function, we placed veno-venous extracorporeal membrane oxygenation (VV-ECMO) for tissue hypoxemia in addition to exchange transfusion, vitamin C, and methylene blue. Met-Hb blood level dropped rapidly. After vigorous rehabilitation for weeks, the patient was able to be discharged home without major neurological sequela. VV-ECMO can hyper-oxygenate the hypoxemic tissue regardless the etiology and minimize hypoxemia-reperfusion injury while awaiting the definite diagnosis and therapy.",Medicine,2021,"Lien YH, Lin YC, Chen RJ",abstract_33847673.txt
18853835,Methylene blue-induced methemoglobinemia during cardiopulmonary bypass? A case report and literature review.,"The guanylate cyclase (GC) and inducible nitric oxide (iNOS) inhibitor methylene blue (MB) has been used in cardiac surgery patients for the treatment of a variety of conditions. Methylene blue has been successfully used for the prevention and treatment of vasoplegia syndrome (VS) in patients undergoing cardiac surgery with cardiopulmonary bypass (CPB). Vasoplegia syndrome occurs in up to 10% of cardiac surgery patients and is associated with poor clinical outcomes. Vasoplegia syndrome is described along with the results of studies that have shown benefits of MB in the treatment of VS. These studies include the use of MB prior to CPB, when added to the CPB prime and when given into the CPB circuit during the operation. We report a case of emergency CPB on a 55-year-old male with bacterial endocarditis, scheduled for an AVR/MVR who arrested on arrival to the operating room. Once on CPB the patient developed a profound hypotension despite normal to high pump flows, with low systemic vascular resistance (SVR), which was refractory to vasopressors--consistent with a diagnosis of VS. Unbeknownst to the perfusionist, the patient was treated with MB which was immediately followed by an apparent sudden arterial desaturation, despite oxygenator ventilation with 100% oxygen (O2), and development of severe metabolic acidosis. Troubleshooting the cause of the apparent desaturation and eventual diagnosis of a false indication of arterial oxygen desaturation and methemoglobinemia (MHgb) due to MB injection is described. Methemoglobinemia is explained as well as its presentation and treatment with MB. The importance of intraoperating room communication and knowledge of drug effects are discussed.",The journal of extra-corporeal technology,2008,"McRobb CM, Holt DW",abstract_18853835.txt
28803519,A Case Report of Benzocaine-Induced Methemoglobinemia.,"Methemoglobinemia is a serious medical condition characterized by the disrupted binding of oxygen to iron on hemoglobin, with a consequent impaired oxygen delivery to body tissues. Various drugs including the local anesthetics such as benzocaine can cause acquired methemoglobinemia. The reported case describes methemoglobinemia that occurred in association with the use of topical benzocaine spray and lozenges in a previously healthy 51-year-old female who had undergone colon surgery to remove a bleeding polyp. Pulse oximetry revealed the patient was hypoxic and a measured methemoglobin (MetHB) serum concentration was 32.4%, well above the normal of less than 2%. Treatment with intravenous methylene blue resulted in a rapid improvement in the patient's respiratory status. The case emphasizes the need for practitioners to appreciate that topical benzocaine products can cause potentially fatal methemoglobinemia.",Journal of pharmacy practice,2018,"Sewell CR, Rivey MP",abstract_28803519.txt
36984616,Hereditary Congenital Methemoglobinemia Diagnosed at the Age of 79 Years: A Case Report.,"<i>Background</i>: Cardiopulmonary disorders are the most common cause of central cyanosis, and methemoglobinemia is often overlooked in the differential diagnosis of patients with central cyanosis. In most cases, methemoglobinemia is acquired and hereditary congenital methemoglobinemia is rare. Only a few case reports of congenital methemoglobinemia can be found in PubMed. To date, only four cases of congenital methemoglobinemia diagnosed after the age of 50 years have been reported. <i>Case Presentation</i>: A 79-year-old Japanese woman presented at our hospital with the chief complaints of dyspnea and cyanosis. She exhibited cyanosis of the lips and extremities, and her SpO<sub>2</sub> was 80%, with oxygen administration at 5 L/min. Blood gas analysis revealed a PaO<sub>2</sub> of 325.4 mmHg and methemoglobin level of 36.9%. The SpO<sub>2</sub> and PaO<sub>2</sub> values were dissociated, and methemoglobin levels were markedly elevated. Genetic analysis revealed a nonsynonymous variant in the gene encoding nicotinamide adenine dinucleotide cytochrome (NADH) B5 reductase 3 (<i>CYB5R3</i>), and the patient was diagnosed with congenital methemoglobinemia. <i>Conclusions</i>: It is important to consider methemoglobinemia in the differential diagnosis of patients with central cyanosis. At 79 years of age, our patient represents the oldest patient with this diagnosis. This report indicates that it is crucial to consider the possibility of methemoglobinemia regardless of the patient's age.","Medicina (Kaunas, Lithuania)",2023,"Nakata M, Yokota N, Tabata K",abstract_36984616.txt
20306428,[Acquired methemoglobinemia--case report].,"Methemoglobinemia; an increased concentration of methemoglobin in the blood, is an altered state of hemoglobin whereby the ferrous form of iron is oxidized to the ferric state, rendering the heme moiety incapable of carrying oxygen. The authors present a case of 49-year-old man who was admitted to the department of chest medicine with dyspnea, weakness and cyanosis in whom differential diagnosis excluded acute and chronic pulmonary and cardiovascular disease. Clinical cyanosis and low measured oxygen saturation in the presence of normal arterial oxygen tension was highly suggestive of methemoglobinemia (""saturation gap""). Methemoglobin level, measured at the acute phase of disease was elevated at 16%. Episode resolved spontaneously. Causes of methemoglobinemia was not established.",Pneumonologia i alergologia polska,2010,"Paczek A, Wawrzyńska L, Mendek-Czajkowska E",abstract_20306428.txt
32909713,Unexplained Methemoglobinemia in Coronavirus Disease 2019: A Case Report.,"Methemoglobinemia is a rare disorder of the blood in which there is an increase in methemoglobin, which occurs when hemoglobin is present in the oxidized form. Methemoglobin impairs hemoglobin's ability to transport oxygen, produces functional anemia, and leads to tissue hypoxia. We report the successful management of a case of refractory hypoxia due to acutely acquired methemoglobinemia in a patient undergoing treatment for coronavirus disease 2019 (COVID-19) pneumonia. The cause of methemoglobinemia in this patient remains unknown. Hypoxia and methemoglobinemia did not respond to methylene blue and required administration of packed red blood cell transfusions.",A&A practice,2020,"Faisal H, Bloom A, Gaber AO",abstract_32909713.txt
10616167,Methemoglobinemia induced by topical anesthesia: a case report and review.,"Topical anesthetic drugs are widely used by clinicians during hospital and outpatient procedures and are also available to the public in a variety of over-the-counter preparations. Although generally safe, they may cause potentially life-threatening methemoglobinemia. We describe a patient who developed repeated episodes of severe methemoglobinemia after administration of topical Cetacaine spray (a proprietary mixture of benzocaine, tetracaine, and butamben) employed for pharyngeal anesthesia before endotracheal intubation, and briefly review the etiology and pathophysiology of this disorder. Cautious interpretation of oxyhemoglobin saturation values obtained by pulse oximetry or estimated from arterial blood gas analysis is crucial lest the diagnosis of severe methemoglobinemia and the resulting hypoxemia are overlooked. If necessary, the condition is usually readily corrected by intravenous administration of methylene blue.",The American journal of the medical sciences,1999,"Khan NA, Kruse JA",abstract_10616167.txt
38493134,Indoxacarb poisoning causing methemoglobinemia treated with parenteral vitamin C: a case report.,"This case study reports on a suicide attempt involving indoxacarb and vitamin C. Indoxacarb is a neurotoxic insecticide used in agriculture and as a flea controller in pets. Cotton, vegetables, and fruits are treated with indoxacarb, an insecticide that can be applied both indoors and outdoors. It causes skin allergies, methemoglobinemia, and hemolytic anemia. It is also attributed to allergic reactions through ingestion, inhalation, physical contact, and translaminar action. This case report highlights use of vitamin C in methemoglobinemia caused by indoxacarb poisoning. Indoxacarb poisoning has the potential to be extremely serious and even lethal. In this instance, the patient initially had no symptoms after ingesting a substance containing indoxacarb in an attempt at suicide. However, further tests revealed methemoglobinemia and low oxygen levels. A 28-year-old south-east Asian female patient ingested an insecticide containing 5.25% novaluron, 4.5% indoxacarb, and 25% thiamethoxam, and reported that she noticed muddy brown urine but presented with no active signs or symptoms of poisoning. Upon examination, the patient was fully conscious, alert, and hemodynamically stable, but had an oxygen saturation of 84%. Gastric lavage was performed, and blood investigations revealed a muddy-brown-colored blood sample and methemoglobin levels of 12%. The patient was treated with high-dose vitamin C and showed significant improvement, with a drop in methemoglobin levels to 1.2% and an increase in oxygen saturation to 97%. Indoxacarb poisoning can cause severe methemoglobinemia. Vitamin C may be a useful treatment option for methemoglobinemia caused by indoxacarb, particularly in cases in which traditional treatment with methylene blue is contraindicated or not tolerated. Hence high doses of ascorbic acid, that is, vitamin C, were administered to the patient, which lowered their methemoglobin levels and improved oxygen levels without much safety concerns. This example emphasizes the significance of early indoxacarb poisoning detection and treatment as well as the possible advantages of utilizing ascorbic acid in the management of methemoglobinemia, and highlights the use of vitamin C in the treatment of methemoglobinemia caused by indoxacarb poisoning. Therefore, it is important for healthcare professionals to be aware of the potential for indoxacarb to cause methemoglobinemia and to consider vitamin C as a treatment option.",Journal of medical case reports,2024,"Sivanandam LK, Arunkumar H, Marlecha P",abstract_38493134.txt
19263080,Severe hemolysis and methemoglobinemia following fava beans ingestion in glucose-6-phosphatase dehydrogenase deficiency: case report and literature review.,"Reduced concentrations of glucose-6-phospate dehydrogenase (G6PD) render erythrocytes susceptible to hemolysis under conditions of oxidative stress. In favism, the ingestion of fava beans induces an oxidative stress to erythrocytes, leading to acute hemolysis. The simultaneous occurrence of methemoglobinemia has been reported only scarcely, despite the fact that both phenomena are the consequence of a common pathophysiologic mechanism. The presence of methemoglobinemia has important diagnostic and therapeutic consequences. We report a previously healthy boy who presented with combined severe hemolytic anemia and cyanosis due to methemoglobinemia, following the ingestion of fava beans. His condition was complicated by the development of transient acute renal failure. A G6PD-deficiency was diagnosed. We review the literature on the combination of acute hemolysis and methemoglobinemia in favism. Pathophysiologic, diagnostic, and therapeutic aspects of this disorder are discussed.",European journal of pediatrics,2009,"Schuurman M, van Waardenburg D, Da Costa J",abstract_19263080.txt
36599025,A Case Report of Hypotension and Methemoglobinemia Associated With Gunshot Residue Poisoning: Nitrite-Induced Methemoglobinemia.,"A patient with gunshots within inches of the skin developed intraoperative vasodilatory hypotension and methemoglobinemia, both recognized consequences of nitrite poisoning. A 1- mg/kg dose of methylene blue transiently and partially reversed methemoglobinemia, but the color of the methylene blue faded rapidly, consistent with bleaching of methylene blue by nitrite in vivo. Methylene blue did not raise blood pressure, consistent with inhibition of nitric oxide (NO) synthase. Because NO production from nitrite uses an NO synthase (NOS)-independent pathway, methylene blue is expected to have little effect on reversing hypotension from nitrite poisoning. Consider nitrite toxicity in gunshot patients with refractory vasodilatory hypotension and elevated methemoglobin.",A&A practice,2022,"Pugh DB, Saxena A, Barta LE",abstract_36599025.txt
38110882,The first Chinese with Hb Chile leading to chronic anemia and methemoglobinemia: a case report.,"Hemoglobin (Hb) Chile [β28(B10) Leu > Met; HBB: c.85 C > A] is a rare hemoglobin variant caused by a missense mutation in the HBB gene. Only one case of Hb Chile has been reported worldwide so far. It is an unstable hemoglobin, characterized by cyanosis associated with chronic methemoglobinemia and hemolytic anemia induced by sulfonamides or methylene blue. A 9-year-3-month-old girl had mild anemia of unknown etiology for more than 6 years. She had a slight pallor without other symptoms or signs. The complete blood count revealed normocytic normochromic anemia with a sometimes-elevated reticulocyte count, and the bone marrow cytology showed marked erythroid hyperplasia, but the tests related to hemolysis were normal. Therefore, the whole exome sequencing was performed and showed a heterozygous mutation for HBB: c.85 C > A. With asymptomatic methemoglobinemia confirmed later, she was eventually diagnosed with Hb Chile. This is the first report of Hb Chile in China and the second worldwide. This case shows that Hb Chile is clinically heterogeneous and difficult to diagnose and expands our understanding on the clinical and hematological traits of the disease.",BMC pediatrics,2023,"Gong Y, Zheng Q, Long S",abstract_38110882.txt
39256769,Rapid-onset methemoglobinemia from traditional-medicine-induced potassium nitrate poisoning: successful treatment with methylene blue-a case report.,"Potassium nitrate poisoning is a rare but potentially serious condition that can result in methemoglobinemia and subsequent cyanosis. This case report presents a unique instance of rapid-onset methemoglobinemia resulting from the ingestion of a traditional medicine preparation containing potassium nitrate, known as ""kalmi shora."" A 14-year-old Pakistani boy reported to the emergency department with a history of sudden-onset headache, drowsiness agitation, irritability, and generalized cyanosis. Pulse oximetry showed a concerning oxygen saturation level of 58%, whereas arterial blood gas analysis revealed a normal partial pressure of oxygen (90 mmHg). The profile of abrupt onset of symptoms, generalized cyanosis, and the discrepancy between the partial pressure of oxygen and oxygen saturation readings necessitated a comprehensive assessment including inquiries into potential toxins. The peculiar appearance of the blood, resembling chocolate in color, further indicated the possibility of methemoglobinemia. The patient was successfully treated with methylene blue, leading to a prompt resolution of symptoms. This case highlights the significance of considering toxin exposures, such as traditional-medicine-induced poisoning, in emergency settings. The report contributes to the medical literature by highlighting the potential risks associated with traditional remedies and emphasizes the critical role of prompt diagnosis and intervention in optimizing patient outcomes. Recognition of the specific etiology of methemoglobinemia, in this case, traditional medicine ingestion, is essential for effective management in emergency medicine.",Journal of medical case reports,2024,"Kazmi S, Farooqi H, Nawaz A",abstract_39256769.txt
